Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
25.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
26.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,1.700.000
27.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
29.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
01.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
02.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
03.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
04.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
05.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
09.9.2014,2014,9,"243,00",,,"243,00","0,00",0,0,0
10.9.2014,2014,9,"250,00","250,00","250,00","250,00","2,88",100,25.000,25.000
11.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
12.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
15.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
16.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
17.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
18.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
19.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
22.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
23.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
24.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
25.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
26.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
29.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
30.9.2014,2014,9,"250,00",,,"250,00","0,00",0,0,0
01.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
02.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
03.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
06.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
07.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
08.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
09.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
10.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
13.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
